site_pcode,New_build09,Removal09,New_buil_10,Removal_10,New_buil_11,Removal_11,New_buil_12,Removal_12,New_buil_13,Removal_13,T_newbuild,buildens,y_2008,y_2009,Pcode,Locality,State,Comments,DeliveryOf,PresortInd,ParcelZone,BSPnumber,BSPname,Category,water_d,pc_area,Tree_area,treecover
3000,154,2,258,6,96,6,172,1,187,4,867,247.01,308,282,3000,MELBOURNE,VIC,,CITY DELIVERY CENTRE,313,V1,22,MELBOURNE CITY,Delivery Area,-0.08442,3.51,79803.36,0.0227
3002,21,1,31,0,8,2,13,2,14,1,87,47.03,327,305,3002,EAST MELBOURNE,VIC,,CITY DELIVERY CENTRE,313,V1,22,MELBOURNE CITY,Delivery Area,-0.06728,1.85,508110.05,0.2747
3004,0,0,28,1,13,1,12,1,11,0,64,64,290,278,3004,MELBOURNE,VIC,,CITY DELIVERY CENTRE,313,V1,22,MELBOURNE CITY,Delivery Area,-0.04138,1,22404.67,0.0224
3006,36,0,31,0,32,0,17,0,20,0,136,79.07,271,262,3006,SOUTH WHARF,VIC,,SOUTH MELBOURNE DC,316,V1,26,MOORABBIN,Delivery Area,-0.03321,1.72,27320.27,0.0159
3011,56,1,112,2,71,1,42,0,74,0,355,59.46,412,393,3011,FOOTSCRAY,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.04612,5.97,0,0
3012,119,3,128,1,117,0,90,2,111,2,565,37.52,395,377,3012,BROOKLYN,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.04557,15.06,17100.38,0.0011
3013,64,3,71,0,70,0,76,1,72,1,353,62.81,385,366,3013,YARRAVILLE,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.04935,5.62,18900.31,0.0034
3015,82,1,125,0,102,3,95,1,91,1,495,55.68,403,373,3015,NEWPORT,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.07444,8.89,0,0
3016,86,1,121,2,90,0,94,0,82,0,473,64.62,432,402,3016,WILLIAMSTOWN,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.06944,7.32,50400.27,0.0069
3018,79,2,97,1,95,3,66,2,85,1,422,23.75,404,373,3018,ALTONA,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.07673,17.77,63719.81,0.0036
3019,70,0,67,1,39,3,46,0,44,2,266,61.57,468,433,3019,BRAYBROOK,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.07479,4.32,0,0
3020,248,2,274,1,277,6,180,0,220,3,1199,48.98,456,432,3020,ALBION,VIC,,WESTERN DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.05263,24.48,202341.55,0.0083
3021,150,6,217,2,143,4,108,1,140,1,758,39.77,494,458,3021,ALBANVALE,VIC,,ST ALBANS DC,315,V1,30,HAWTHORN,Delivery Area,-0.07287,19.06,2716.3,0.0001
3022,12,0,20,1,18,1,17,0,14,0,81,38.57,438,403,3022,ARDEER,VIC,,SUNSHINE DC,314,V1,23,FOOTSCRAY,Delivery Area,-0.07991,2.1,68825.56,0.0328
