LoID,lat,long,Time,Location,Temp_Min,Temp_25th%,Temp_50th%,Temp_75th%,Temp_Max ,Turbidity_Min,Turbidity_25th%,Turbidity_50th%,Turbidity_75th%,Turbidity_Max ,Ecoli_Min,Ecoli_25th%,Ecoli_50th%,Ecoli_75th%,Ecoli_Max ,,,
1,-37.876657,145.2154315,2013,"Blind Creek at Cathies Lane, Wantirna South",8.70 ,13.20 ,14.60 ,16.60 ,21.40 ,13.00 ,18.00 ,25.00 ,37.00 ,67.00 ,430.00 ,1190.00 ,2250.00 ,3025.00 ,8200.00 ,,,
1,-37.876657,145.2154315,2012,"Blind Creek at Cathies Lane, Wantirna South",10.40 ,13.50 ,15.30 ,16.60 ,21.90 ,8.00 ,17.00 ,34.00 ,38.00 ,150.00 ,150.00 ,243.00 ,315.00 ,335.00 ,510.00 ,,,
1,-37.876657,145.2154315,2011,"Blind Creek at Cathies Lane, Wantirna South",8.80 ,11.60 ,13.30 ,16.20 ,21.50 ,16.00 ,24.00 ,44.00 ,57.00 ,140.00 ,360.00 ,500.00 ,700.00 ,2600.00 ,56000.00 ,,,
1,-37.876657,145.2154315,2010,"Blind Creek at Cathies Lane, Wantirna South",8.50 ,10.30 ,15.60 ,17.40 ,21.00 ,9.00 ,17.00 ,31.00 ,49.00 ,140.00 ,54.00 ,165.00 ,470.00 ,1025.00 ,5200.00 ,,,
1,-37.876657,145.2154315,2009,"Blind Creek at Cathies Lane, Wantirna South",8.70 ,11.40 ,15.00 ,17.40 ,19.30 ,10.00 ,19.00 ,22.00 ,28.00 ,46.00 ,110.00 ,595.00 ,1180.00 ,1825.00 ,6400.00 ,,,
2,-38.0981878,145.1631294,2013,"Boggy Creek at Lathams Rd, Carrum Downs",10.30 ,12.30 ,13.70 ,16.50 ,21.10 ,13.00 ,17.00 ,28.00 ,42.00 ,62.00 ,380.00 ,560.00 ,940.00 ,1575.00 ,13000.00 ,,,
2,-38.0981878,145.1631294,2012,"Boggy Creek at Lathams Rd, Carrum Downs",9.00 ,11.10 ,13.70 ,15.00 ,19.10 ,19.00 ,30.00 ,44.00 ,67.00 ,600.00 ,31.00 ,96.00 ,220.00 ,453.00 ,1400.00 ,,,
2,-38.0981878,145.1631294,2011,"Boggy Creek at Lathams Rd, Carrum Downs",10.00 ,12.10 ,13.50 ,16.60 ,20.00 ,18.00 ,31.00 ,40.00 ,43.00 ,140.00 ,40.00 ,145.00 ,380.00 ,915.00 ,6000.00 ,,,
2,-38.0981878,145.1631294,2010,"Boggy Creek at Lathams Rd, Carrum Downs",9.00 ,10.70 ,13.00 ,17.40 ,20.00 ,25.00 ,32.00 ,33.00 ,67.00 ,240.00 ,280.00 ,500.00 ,680.00 ,940.00 ,2600.00 ,,,
2,-38.0981878,145.1631294,2009,"Boggy Creek at Lathams Rd, Carrum Downs",9.80 ,13.10 ,16.50 ,18.20 ,20.40 ,9.00 ,13.00 ,15.00 ,28.00 ,42.00 ,60.00 ,198.00 ,500.00 ,970.00 ,4400.00 ,,,
3,-37.9284271,145.2356032,2013,"Corhanwarrabul Creek at Wellington Road, Rowville",7.40 ,12.70 ,14.30 ,16.40 ,22.40 ,32.00 ,41.00 ,57.00 ,72.00 ,110.00 ,120.00 ,275.00 ,500.00 ,1300.00 ,3300.00 ,,,
